,date,tavg,tmin,tmax,prcp,snow,wspd
243,2019-09-01,21.7,17.4,25.0,0.0,0.0,15.8
244,2019-09-02,22.1,20.7,25.0,24.0,0.0,11.8
245,2019-09-03,23.4,19.5,27.8,0.0,0.0,11.1
246,2019-09-04,23.9,19.7,30.1,1.8,0.0,15.6
247,2019-09-05,22.0,18.2,23.9,0.0,0.0,11.9
248,2019-09-06,18.3,15.3,20.0,7.3,0.0,22.5
249,2019-09-07,19.0,14.1,25.4,0.4,0.0,16.5
250,2019-09-08,21.2,16.5,26.1,0.0,0.0,10.5
251,2019-09-09,21.8,18.2,25.5,0.0,0.0,13.2
252,2019-09-10,21.8,19.6,25.3,0.0,0.0,11.8
253,2019-09-11,24.3,20.2,31.3,0.0,0.0,17.3
254,2019-09-12,24.9,17.2,27.4,0.7,0.0,16.8
255,2019-09-13,18.3,14.4,21.9,0.0,0.0,18.3
256,2019-09-14,20.7,17.9,24.6,0.0,0.0,14.4
257,2019-09-15,24.0,20.3,28.5,0.0,0.0,10.3
258,2019-09-16,22.6,18.9,26.2,0.0,0.0,7.1
259,2019-09-17,21.3,15.7,25.8,0.0,0.0,15.0
260,2019-09-18,17.6,13.1,21.7,0.0,0.0,15.3
261,2019-09-19,16.0,10.3,21.7,0.0,0.0,11.2
262,2019-09-20,18.4,11.8,26.4,0.0,0.0,13.2
263,2019-09-21,21.3,13.8,28.5,0.0,0.0,8.2
264,2019-09-22,22.7,17.1,29.5,0.0,0.0,12.6
265,2019-09-23,25.2,21.0,31.2,0.7,0.0,17.7
266,2019-09-24,23.3,17.7,26.0,0.0,0.0,17.9
267,2019-09-25,20.5,14.7,26.2,0.0,0.0,11.6
268,2019-09-26,20.8,16.1,28.0,0.0,0.0,14.8
269,2019-09-27,19.2,13.9,24.9,0.0,0.0,11.1
270,2019-09-28,21.3,16.3,27.8,0.0,0.0,16.4
271,2019-09-29,23.8,18.0,27.2,0.0,0.0,16.9
272,2019-09-30,18.7,16.4,21.4,0.0,0.0,15.6
273,2019-10-01,20.8,17.0,27.4,0.0,0.0,18.8
274,2019-10-02,26.0,18.7,35.3,12.1,0.0,22.0
275,2019-10-03,15.6,12.3,18.7,10.5,0.0,17.4
276,2019-10-04,16.1,9.7,20.0,0.0,0.0,24.6
277,2019-10-05,11.2,6.6,15.3,0.0,0.0,13.1
278,2019-10-06,17.4,14.7,21.2,0.0,0.0,19.2
279,2019-10-07,22.0,15.3,25.7,4.1,0.0,23.8
280,2019-10-08,16.5,14.7,18.1,0.6,0.0,20.9
281,2019-10-09,14.0,11.5,15.4,10.9,0.0,24.7
282,2019-10-10,15.8,11.9,22.8,0.0,0.0,26.3
283,2019-10-11,15.7,12.8,18.1,0.0,0.0,26.0
284,2019-10-12,15.6,13.1,20.5,0.0,0.0,12.6
285,2019-10-13,15.5,11.7,19.2,0.0,0.0,10.2
286,2019-10-14,17.4,14.0,23.0,0.0,0.0,11.8
287,2019-10-15,15.2,10.6,18.7,0.0,0.0,9.4
288,2019-10-16,15.3,10.3,18.9,41.6,0.0,20.8
289,2019-10-17,13.3,11.0,15.3,0.0,0.0,35.8
290,2019-10-18,12.7,8.5,16.2,0.0,0.0,21.5
291,2019-10-19,10.6,5.2,16.6,0.0,0.0,9.7
292,2019-10-20,11.8,7.7,15.2,15.9,0.0,9.6
293,2019-10-21,13.9,9.9,20.3,0.0,0.0,11.6
294,2019-10-22,14.5,12.2,17.7,12.4,0.0,16.1
295,2019-10-23,16.8,11.6,20.0,0.7,0.0,17.2
296,2019-10-24,14.2,8.0,19.8,0.0,0.0,11.8
297,2019-10-25,13.5,7.8,18.4,0.0,0.0,9.5
298,2019-10-26,14.9,10.6,17.6,0.2,0.0,10.9
299,2019-10-27,16.1,13.2,20.7,29.7,0.0,17.9
300,2019-10-28,15.3,12.3,17.6,0.4,0.0,11.6
301,2019-10-29,14.0,12.2,15.8,3.1,0.0,11.4
302,2019-10-30,16.0,14.6,18.2,2.9,0.0,9.3
303,2019-10-31,18.6,16.5,21.7,10.5,0.0,23.9
304,2019-11-01,13.4,6.5,18.7,0.9,0.0,24.9
305,2019-11-02,8.0,3.3,11.8,0.0,0.0,9.6
306,2019-11-03,8.9,4.4,13.2,0.0,0.0,15.2
307,2019-11-04,8.9,2.5,13.9,0.0,0.0,12.3
308,2019-11-05,12.9,9.1,16.4,0.0,0.0,12.3
309,2019-11-06,10.9,6.5,13.6,0.0,0.0,14.0
310,2019-11-07,10.4,4.7,14.5,1.3,0.0,18.1
311,2019-11-08,4.1,-1.2,5.5,0.0,0.0,23.8
312,2019-11-09,1.1,-3.1,5.3,0.0,0.0,11.0
313,2019-11-10,6.3,2.1,11.4,0.0,0.0,13.4
314,2019-11-11,10.8,6.1,15.6,0.0,0.0,6.8
315,2019-11-12,7.7,-3.4,13.2,0.7,0.0,22.1
316,2019-11-13,-1.7,-4.9,2.2,0.0,0.0,19.6
317,2019-11-14,1.3,-3.4,7.8,0.0,0.0,12.1
318,2019-11-15,5.8,0.0,11.0,0.0,0.0,14.8
319,2019-11-16,4.4,-0.4,6.2,0.0,0.0,23.1
320,2019-11-17,2.3,-0.8,6.4,0.0,0.0,27.3
321,2019-11-18,4.6,3.4,6.2,10.1,0.0,16.6
322,2019-11-19,6.8,5.1,10.4,4.6,0.0,11.7
323,2019-11-20,6.7,4.8,10.1,0.0,0.0,19.8
324,2019-11-21,7.4,3.1,12.4,0.0,0.0,13.0
325,2019-11-22,9.4,3.3,11.4,1.4,0.0,23.2
326,2019-11-23,4.5,0.5,7.7,0.9,0.0,11.0
327,2019-11-24,6.1,4.2,8.3,18.1,0.0,21.6
328,2019-11-25,7.0,3.0,11.8,0.0,0.0,13.3
329,2019-11-26,9.0,3.7,15.7,0.0,0.0,9.3
330,2019-11-27,10.9,7.2,14.5,0.3,0.0,15.0
331,2019-11-28,9.8,3.1,11.7,0.0,0.0,30.5
332,2019-11-29,2.8,-0.7,5.7,0.0,0.0,20.9
333,2019-11-30,3.2,-0.5,7.7,0.0,0.0,14.5
334,2019-12-01,0.5,-1.9,3.8,16.4,0.0,22.2
335,2019-12-02,2.6,0.0,3.7,8.7,0.0,24.4
336,2019-12-03,1.1,-0.3,3.7,0.2,30.0,22.1
337,2019-12-04,1.8,-0.3,3.9,0.0,0.0,17.2
338,2019-12-05,3.9,1.9,6.7,0.0,0.0,26.2
339,2019-12-06,4.8,0.8,9.9,0.0,0.0,19.6
340,2019-12-07,3.2,-1.6,4.7,0.0,0.0,18.6
341,2019-12-08,0.9,-4.1,6.4,0.0,0.0,9.3
342,2019-12-09,7.4,4.9,12.5,40.3,0.0,14.6
343,2019-12-10,12.4,4.8,14.0,2.4,0.0,18.3
344,2019-12-11,3.3,-0.2,4.5,6.2,13.3,17.0
345,2019-12-12,-0.1,-2.8,2.2,0.0,0.0,11.9
346,2019-12-13,3.6,-0.2,10.5,23.9,0.0,14.1
347,2019-12-14,10.7,6.9,13.6,28.4,0.0,20.5
348,2019-12-15,7.3,3.0,9.6,0.0,0.0,28.2
349,2019-12-16,2.3,0.8,3.0,4.6,0.0,10.6
350,2019-12-17,1.2,0.5,2.3,26.6,0.0,19.1
351,2019-12-18,1.0,-5.7,3.4,1.1,0.0,24.0
352,2019-12-19,-5.3,-8.3,-2.5,0.0,16.7,24.0
353,2019-12-20,-2.8,-5.3,1.6,0.0,0.0,15.7
354,2019-12-21,-2.1,-5.7,2.2,0.0,0.0,8.3
355,2019-12-22,1.7,-3.4,8.3,0.0,0.0,14.4
356,2019-12-23,6.0,0.6,13.1,0.0,0.0,14.7
357,2019-12-24,6.4,0.8,10.0,0.0,0.0,16.3
358,2019-12-25,2.9,-1.4,8.6,0.0,0.0,6.8
359,2019-12-26,3.8,0.4,8.2,0.0,0.0,12.5
360,2019-12-27,9.1,7.1,11.7,0.0,0.0,12.6
361,2019-12-28,8.3,3.5,11.5,0.0,0.0,11.5
362,2019-12-29,5.4,1.9,7.0,8.5,0.0,9.4
363,2019-12-30,5.4,3.2,6.3,14.8,0.0,25.8
364,2019-12-31,4.5,3.3,7.3,0.0,0.0,17.6
365,2020-01-01,4.1,-0.0,5.2,0.0,0.0,23.5
366,2020-01-02,3.2,-1.5,9.4,0.0,0.0,13.3
367,2020-01-03,7.2,6.3,8.8,3.0,0.0,9.9
368,2020-01-04,8.7,5.7,10.6,4.8,0.0,10.1
369,2020-01-05,5.1,1.9,8.0,0.0,0.0,26.0
370,2020-01-06,2.9,-0.3,7.5,0.8,16.7,19.1
371,2020-01-07,4.4,1.5,6.7,0.4,0.0,12.1
372,2020-01-08,2.5,-1.8,6.7,0.0,0.0,27.1
373,2020-01-09,-1.5,-4.4,1.3,0.0,0.0,14.4
374,2020-01-10,4.2,-0.3,11.8,0.0,0.0,13.4
375,2020-01-11,12.3,8.4,17.9,0.0,0.0,23.8
376,2020-01-12,16.3,7.0,20.2,0.9,0.0,28.9
377,2020-01-13,6.4,1.7,8.3,0.0,0.0,10.8
378,2020-01-14,5.6,3.2,7.8,0.6,0.0,8.1
379,2020-01-15,7.6,5.0,11.2,0.0,0.0,12.2
380,2020-01-16,6.9,1.2,9.8,1.1,0.0,27.0
381,2020-01-17,-1.7,-5.6,1.2,0.0,0.0,26.8
382,2020-01-18,-3.7,-6.5,2.9,10.9,0.0,13.7
383,2020-01-19,3.6,-1.6,7.1,0.0,0.0,22.4
384,2020-01-20,-2.6,-6.2,0.6,0.0,0.0,23.4
385,2020-01-21,-3.0,-6.4,1.8,0.0,0.0,13.2
386,2020-01-22,-0.8,-4.9,4.5,0.0,0.0,6.5
387,2020-01-23,2.5,-2.2,7.6,0.0,0.0,7.6
388,2020-01-24,5.5,0.8,11.1,0.0,0.0,8.8
